metric,value,dependencia_terreno
ai,95.6638857217831,0.1
area_mn,2.9661284811284143,0.1
cai_mn,2.665682823933347,0.1
circle_mn,0.5150089587484789,0.1
cohesion,99.94250154429427,0.1
condent,0.3001376889973679,0.1
contag,52.504186724599045,0.1
contig_mn,0.17782010965836562,0.1
core_mn,2.6923732117605623,0.1
dcad,16.392653184583335,0.1
dcore_mn,0.4862271549205299,0.1
division,0.8025430244901129,0.1
ed,86.36229732178288,0.1
ent,1.59969484201867,0.1
frac_mn,1.0906212279150798,0.1
gyrate_mn,10.904695011289103,0.1
iji,82.10281207873147,0.1
joinent,1.899832531016038,0.1
lpi,38.49146232711158,0.1
lsi,179.27172113556932,0.1
mesh,131294.26110132903,0.1
msidi,0.9475979118424392,0.1
msiei,0.6835474040859121,0.1
mutinf,1.299557153021302,0.1
ndca,108999,0.1
np,224173,0.1
pafrac,1.5797698444490669,0.1
para_mn,0.32758688349229387,0.1
pd,33.71398125072339,0.1
pladj,95.680172034148,0.1
pr,4,0.1
prd,6.015707734780441e-4,0.1
relmutinf,0.8123781604380113,0.1
rpr,NA,0.1
shape_mn,1.5509426160345774,0.1
shdi,1.1088425290414632,0.1
shei,0.7998608088874477,0.1
sidi,0.6123288738659263,0.1
siei,0.8164384984879017,0.1
split,5.064394394868711,0.1
ta,664925.9199999998,0.1
tca,603557.38,0.1
te,57424530,0.1
ai,95.81108189855456,0.2
area_mn,3.1384267414309037,0.2
cai_mn,3.0401244037098367,0.2
circle_mn,0.5193582005537126,0.2
cohesion,99.9494241752534,0.2
condent,0.2920087752556484,0.2
contag,52.70671838183634,0.2
contig_mn,0.1880071788882416,0.2
core_mn,2.854168153455487,0.2
dcad,15.856352840027654,0.2
dcore_mn,0.4976400177470665,0.2
division,0.7951298822013075,0.2
ed,83.41920254815756,0.2
ent,1.5997224894708988,0.2
frac_mn,1.092067689398529,0.2
gyrate_mn,11.435546434714327,0.2
iji,81.84106876016367,0.2
joinent,1.8917312647265472,0.2
lpi,38.49146232711157,0.2
lsi,173.27215034643447,0.2
mesh,136223.45155780393,0.2
msidi,0.947597911842439,0.2
msiei,0.683547404085912,0.2
mutinf,1.3077137142152504,0.2
ndca,105433,0.2
np,211866,0.2
pafrac,1.5630898616654472,0.2
para_mn,0.32311990123214784,0.2
pd,31.86309837342482,0.2
pladj,95.82738489628562,0.2
pr,4,0.2
prd,6.01570773478044e-4,0.2
relmutinf,0.8174628554779967,0.2
rpr,NA,0.2
shape_mn,1.5547685616175608,0.2
shdi,1.1088425290414632,0.2
shei,0.7998608088874477,0.2
sidi,0.6123288738659263,0.2
siei,0.8164384984879017,0.2
split,4.881141333567303,0.2
ta,664925.9199999999,0.2
tca,604701.19,0.2
te,55467590,0.2
ai,95.94216815152024,0.3
area_mn,3.28700977314634,0.3
cai_mn,3.3960818549507845,0.3
circle_mn,0.5239743529059566,0.3
cohesion,99.94034110631928,0.3
condent,0.28520035881229266,0.3
contag,52.87687440607974,0.3
contig_mn,0.19721406965468377,0.3
core_mn,2.995339637844866,0.3
dcad,15.38396939015402,0.3
dcore_mn,0.5056725773522041,0.3
division,0.808590142726665,0.3
ed,80.79817372738306,0.3
ent,1.5997246649445174,0.3
frac_mn,1.0941694171683445,0.3
gyrate_mn,12.068401878498744,0.3
iji,82.28284719763523,0.3
joinent,1.88492502375681,0.3
lpi,38.49146232711157,0.3
lsi,167.92911889140964,0.3
mesh,127273.37544454096,0.3
msidi,0.9475979118424392,0.3
msiei,0.6835474040859121,0.3
mutinf,1.3145243061322247,0.3
ndca,102292,0.3
np,202289,0.3
pafrac,1.5501609674528347,0.3
para_mn,0.3192884531923833,0.3
pd,30.422787549025017,0.3
pladj,95.95848810026982,0.3
pr,4,0.3
prd,6.01570773478044e-4,0.3
relmutinf,0.8217190963782607,0.3
rpr,NA,0.3
shape_mn,1.5640775643377958,0.3
shdi,1.1088425290414632,0.3
shei,0.7998608088874477,0.3
sidi,0.6123288738659263,0.3
siei,0.8164384984879017,0.3
split,5.224391336189081,0.3
ta,664925.9199999999,0.3
tca,605924.2599999999,0.3
te,53724800,0.3
ai,95.97644780800552,0.4
area_mn,3.396117881403545,0.4
cai_mn,3.8025233292803216,0.4
circle_mn,0.5265924466819735,0.4
cohesion,99.94149266470744,0.4
condent,0.2834030490922741,0.4
contag,52.92197523699369,0.4
contig_mn,0.20701724619627668,0.4
core_mn,3.093542928648043,0.4
dcad,15.43630604744661,0.4
dcore_mn,0.5242351499055109,0.4
division,0.8068206975029131,0.4
ed,80.1127590273515,0.4
ent,1.599717941427978,0.4
frac_mn,1.095431423978468,0.4
gyrate_mn,12.546638243572977,0.4
iji,82.45309722369578,0.4
joinent,1.883120990520252,0.4
lpi,38.49146232711157,0.4
lsi,166.53188423569807,0.4
mesh,128449.92543783376,0.4
msidi,0.947597911842439,0.4
msiei,0.683547404085912,0.4
mutinf,1.316314892335704,0.4
ndca,102640,0.4
np,195790,0.4
pafrac,1.5393904468274409,0.4
para_mn,0.314951515708076,0.4
pd,29.44538543481656,0.4
pladj,95.992772371591,0.4
pr,4,0.4
prd,6.01570773478044e-4,0.4
relmutinf,0.8228418637104887,0.4
rpr,NA,0.4
shape_mn,1.5704621189558274,0.4
shdi,1.1088425290414632,0.4
shei,0.7998608088874477,0.4
sidi,0.6123288738659263,0.4
siei,0.8164384984879017,0.4
split,5.176537999018192,0.4
ta,664925.9199999999,0.4
tca,605684.77,0.4
te,53269050,0.4
ai,96.01495149615208,0.5
area_mn,3.5834438306701517,0.5
cai_mn,4.092004270093205,0.5
circle_mn,0.5332362933524549,0.5
cohesion,99.94430471914512,0.5
condent,0.28179870705386834,0.5
contag,52.96358852516365,0.5
contig_mn,0.2153112899983692,0.5
core_mn,3.2657835143219005,0.5
dcad,15.29869673301351,0.5
dcore_mn,0.5482202042521088,0.5
division,0.8018136933898335,0.5
ed,79.34289882999299,0.5
ent,1.5996577519395854,0.5
frac_mn,1.0997280295661278,0.5
gyrate_mn,13.395923302409315,0.5
iji,82.84036706879868,0.5
joinent,1.8814564589934537,0.5
lpi,38.49146232711158,0.5
lsi,164.96250536513585,0.5
mesh,131779.21225416692,0.5
msidi,0.9475979118424392,0.5
msiei,0.6835474040859121,0.5
mutinf,1.317859044885717,0.5
ndca,101725,0.5
np,185555,0.5
pafrac,1.5388234613844076,0.5
para_mn,0.3117269892833187,0.5
pd,27.906116218179623,0.5
pladj,96.03128058550058,0.5
pr,4,0.5
prd,6.015707734780441e-4,0.5
relmutinf,0.8238381261790609,0.5
rpr,NA,0.5
shape_mn,1.6012460032888045,0.5
shdi,1.108842529041463,0.5
shei,0.7998608088874475,0.5
